id,name,owner,watchers,created_at,updated_at,size,stars,open_issues_count,language,forks,description,topics,topic
79252617,MovieTickets+rationalappdev,rationalappdev,240,2017-01-17T17:24:28Z,2024-10-18T02:23:00Z,2920,240,17,JavaScript,80,Movie Tickets Booking App with React Native Tutorial,['react-native-tutorial'],Booking
66269699,ReservationServer+OpenReservation,OpenReservation,232,2016-08-22T12:12:19Z,2024-11-20T07:11:24Z,32512,232,7,JavaScript,89,预约系统 ReservationSystem powered by asp.net core,"['asp-net-core', 'aspnet-core', 'aspnet-mvc', 'aspnetcore', 'booking', 'booking-system', 'docker', 'helm', 'identityserver4', 'kubernetes', 'open-reservation', 'reservation', 'reservation-system']",Booking
58310483,my-appointment+iZaL,iZaL,205,2016-05-08T12:13:05Z,2024-11-04T19:41:51Z,18644,205,4,JavaScript,100,ReactNative App for booking Appointment,"['appointment', 'appointment-booking', 'react', 'react-native', 'redux']",Booking
12949050,RoomBooking+neokoenig,neokoenig,187,2013-09-19T13:19:34Z,2024-07-25T03:59:06Z,18063,187,18,JavaScript,73,"This is an open source application for booking rooms via a web based calendar, using cfWheels, Bootstrap3, jQuery, FullCalendar.js, and other bits. AKA the OxAlto RoomBooking System","['book-rooms', 'bootstrap', 'cfwheels', 'fullcalendar', 'javascript']",Booking
397551549,warp+sebo-b,sebo-b,151,2021-08-18T09:54:14Z,2024-11-19T06:19:56Z,3617,151,20,JavaScript,65,"Workspace Autonomous Reservation Program - a system to help you efficiently manage hybrid (assigned, hot-desks, etc) office space.","['booking', 'coworking-space-management', 'desk', 'flask', 'peewee-orm', 'python', 'reservation', 'wfh', 'workspace']",Reservation
53809228,angular-reservation+hmartos,hmartos,96,2016-03-13T21:40:59Z,2024-11-04T19:42:20Z,1832,96,9,JavaScript,30,"AngularJS configurable module to set up an appointment on a calendar. It can be used to make a reservation in a restaurant, clinic, barber shop, or any kind of service provided in time slots","['angularjs', 'appointment', 'appointment-booking', 'appointment-scheduling', 'booking', 'booking-system', 'reservation', 'reservation-system']",Reservation
231183142,Restaurant-Reservation+athoutam1,athoutam1,92,2020-01-01T06:28:35Z,2024-10-13T04:39:47Z,5280,92,26,JavaScript,40,,[],Reservation
469384943,laravel-restaurant-reservation+tonyxhepa,tonyxhepa,73,2022-03-13T13:49:06Z,2024-10-22T07:28:12Z,462,73,5,JavaScript,68,,[],Reservation
458839942,hollux+kimmyxpow,kimmyxpow,72,2022-02-13T14:54:33Z,2024-09-01T16:17:07Z,4613,72,0,JavaScript,10,Hollux is a hotel website that can be used for online reservations.,"['alpinejs', 'hotel', 'hotel-management-system', 'laravel', 'laravel-application', 'livewire', 'tailwind', 'tailwindcss', 'tall-stack']",Reservation
93129118,react-timeslot-calendar+lrojas94,lrojas94,65,2017-06-02T05:08:42Z,2024-11-18T20:44:54Z,498,65,16,JavaScript,36,A calendar component which allows users to select and reserve available timeslots so that they can setup a meeting and/or event.,"['calendar', 'moment', 'momentjs', 'react', 'reservation', 'schedule', 'time', 'timeslot']",Reservation
138424119,Online-Movie-Ticket-Booking-System-in-php+projectworldsofficial,projectworldsofficial,63,2018-06-23T18:17:47Z,2024-11-12T18:21:32Z,9990,63,5,JavaScript,45,"Online movie booking system is a web portal where you can book tickets in advance , know your movie show timing, watch movie trailer and read reviews for the same.  The objective of Cinema Reservation System is to provide the facility of booking movie tickets online. Customer can view timing of movie shows and book the show as per the availability. Cinema Reservation System is a PHP/MySQL based.  This project provides ticket reservation system allowing bookings in a few easy steps. Users can easily book for Shows, Change time, Delete order and view all the shows available.  https://youtu.be/h3DR9mBOsfc",[],Reservation
48432704,react-bootstrap-datetimerangepicker+luqin,luqin,60,2015-12-22T13:14:17Z,2024-05-20T07:20:00Z,1003,60,15,JavaScript,53,"React date & time range picker component base on bootstrap-daterangepicker. This date range picker component for Bootstrap creates a dropdown menu from which a user can select a range of dates. Features include limiting the selectable date range, localizable strings and date formats, a single date picker mode, optional time picker (for e.g. making appointments or reservations), and styles that match the default Bootstrap 3 theme.",[],Reservation
116772684,hotel-management-system+chironyf,chironyf,228,2018-01-09T05:58:04Z,2024-11-20T01:03:05Z,15775,228,6,JavaScript,77,宾馆管理系统。可以订房、续费、退房、订单管理、员工管理以及业务数据统计可视化展示等,"['echarts', 'hotel', 'idea', 'jsp-servlet', 'management-system', 'semantic-ui', 'tomcat-mysql-environment']",Hotel Management
425569063,Hotel-Booking-Web-App+DebjitPramanick,DebjitPramanick,51,2021-11-07T17:23:47Z,2024-11-18T08:06:32Z,9305,51,2,JavaScript,25,"Simple hotel booking app with content management system. Users can book rooms in different hotels for specific dates. Hotel managers can create, update, delete a hotel and its rooms. Admin can manage everything in the app.","['express-js', 'fullstack', 'graphql', 'hotel-management-system', 'mongodb', 'node', 'reactjs', 'webapp']",Hotel Management
418638812,projects_realestate+adrianhajdin,adrianhajdin,1244,2021-10-18T19:21:40Z,2024-11-15T19:23:44Z,117,1244,20,JavaScript,441,Build and Deploy a Real Estate React & Next.js Application,"['chakra-ui', 'nextjs', 'reactjs']",Real Estate
533254113,contoso-real-estate+Azure-Samples,Azure-Samples,898,2022-09-06T09:33:48Z,2024-11-19T16:12:51Z,37944,898,28,JavaScript,534,"Intelligent enterprise-grade reference architecture for JavaScript, featuring OpenAI integration, Azure Developer CLI template and Playwright tests.","['angular', 'architecture', 'azd-templates', 'azure', 'azureopenai', 'cloud', 'javascript', 'next', 'nodejs', 'playwright', 'rag', 'serverless', 'strapi', 'stripe']",Real Estate
109605983,microrealestate+microrealestate,microrealestate,689,2017-11-05T18:43:50Z,2024-11-18T18:34:44Z,7235,689,22,JavaScript,242,This is an Open Source Real estate management system that helps landlords to manage their rentals and properties,"['landlord', 'open-source', 'opensource', 'property-management', 'real-estate', 'realestate', 'rental']",Real Estate
685321028,mern-estate+sahandghavidel,sahandghavidel,404,2023-08-31T01:21:58Z,2024-11-15T19:32:45Z,395,404,5,JavaScript,249,Real Estate app using MERN and tailwind css,[],Real Estate
161481406,dreamhouse-lwc+trailheadapps,trailheadapps,394,2018-12-12T11:56:00Z,2024-11-20T00:59:03Z,3994,394,5,JavaScript,784,Sample application for Lightning Web Components on Salesforce Platform. Part of the sample gallery. Real estate use case. Get inspired and learn best practices.,"['apex', 'lightning-web-components', 'salesforce']",Real Estate
